procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0   4864 1063668 974756 2975860    0    0     0   792 2150 2689  7  4 90  0  0 2021-11-09 10:44:08
 3  0   4864 1063292 974756 2976348    0    0     0   456 2866 2854  8  5 87  0  0 2021-11-09 10:44:09
 0  0   4864 1059732 974756 2976352    0    0     0   760 2340 2824  9  4 87  0  0 2021-11-09 10:44:10
 1  0   4864 1060488 974772 2975832    0    0     0   804 3651 4540 11  6 82  1  0 2021-11-09 10:44:11
 0  0   4864 1060944 974772 2975844    0    0     0   160 2225 2761  7  5 88  0  0 2021-11-09 10:44:12
 0  0   4864 1060904 974780 2975848    0    0     0   992 3034 3256  7  4 89  0  0 2021-11-09 10:44:13
 2  0   4864 1059392 974780 2977392    0    0     0   456 1793 1926  6  3 91  0  0 2021-11-09 10:44:14
 0  0   4864 1059392 974780 2977392    0    0     0   304 1995 2693  6  4 91  0  0 2021-11-09 10:44:15
 1  0   4864 1061148 974788 2975876    0    0     0   584 2758 3112  9  6 84  1  0 2021-11-09 10:44:16
 1  0   4864 1061116 974788 2975892    0    0     0   924 2741 3949  7  4 90  0  0 2021-11-09 10:44:17
 0  0   4864 1061108 974796 2975880    0    0     0  1100 2055 2085 10  3 87  0  0 2021-11-09 10:44:18
 2  0   4864 1060884 974796 2976416    0    0     0  1252 3190 3414  7  5 88  0  0 2021-11-09 10:44:19
 0  0   4864 1061036 974796 2976416    0    0     0   512 1900 2177  5  3 92  0  0 2021-11-09 10:44:20
 2  0   4864 1061248 974804 2975904    0    0     0  1088 3461 4602 10  6 83  1  0 2021-11-09 10:44:21
 0  0   4864 1061144 974804 2975892    0    0     0   912 2004 2266  6  4 91  0  0 2021-11-09 10:44:22
 0  0   4864 1061272 974812 2975892    0    0     0   672 3335 3739  8  5 87  0  0 2021-11-09 10:44:23
 4  0   4864 1060660 974812 2976408    0    0     0   488 1834 2002  8  5 88  0  0 2021-11-09 10:44:24
 1  0   4864 1060812 974820 2976416    0    0     0   356 2162 2454  7  4 89  0  0 2021-11-09 10:44:25
 0  0   4864 1060660 974828 2975800    0    0     0  1240 2803 3280  9  6 84  1  0 2021-11-09 10:44:26
 0  0   4864 1060740 974828 2975924    0    0     0   912 3408 4547  7  5 89  0  0 2021-11-09 10:44:27
 0  0   4864 1060448 974836 2975924    0    0     0   212 2163 2329  7  4 89  0  0 2021-11-09 10:44:28
 2  0   4864 1060668 974836 2976256    0    0     0   316 3339 3763  7  5 87  0  0 2021-11-09 10:44:29
 0  0   4864 1060604 974836 2976436    0    0     0   912 1885 2168  6  4 90  0  0 2021-11-09 10:44:30
 2  0   4864 1060588 974844 2976436    0    0     0  1280 3326 4627  9  5 84  1  0 2021-11-09 10:44:31
 1  0   4864 1060768 974844 2975928    0    0     0  1064 1977 2245  6  3 91  0  0 2021-11-09 10:44:32
 0  0   4864 1060736 974852 2975924    0    0     0   644 2213 2483  7  4 88  0  0 2021-11-09 10:44:33
 5  0   4864 1060536 974852 2975928    0    0     0   772 1811 2151  6  3 91  0  0 2021-11-09 10:44:34
 0  0   4864 1059828 974852 2977468    0    0     0   304 3092 3629  5  5 90  0  0 2021-11-09 10:44:35
 2  0   4864 1059596 974860 2977492    0    0     0  1088 2940 3483  9  6 85  1  0 2021-11-09 10:44:36
 0  0   4864 1060224 974860 2975960    0    0     0   760 3086 3920  7  5 88  0  0 2021-11-09 10:44:37
 1  0   4864 1060032 974872 2976052    0    0     0   792 2244 2388  9  4 87  0  0 2021-11-09 10:44:38
 2  0   4864 1059800 974872 2975964    0    0     0   772 2926 3510  7  5 89  0  0 2021-11-09 10:44:39
 0  0   4864 1059576 974872 2976460    0    0     0   760 1973 2204  5  4 91  0  0 2021-11-09 10:44:40
 2  1   4864 1059156 974880 2975956    0    0     0   856 3486 4569  9  6 84  0  0 2021-11-09 10:44:41
 0  0   4864 1059244 974880 2975960    0    0     0   456 2152 2496  7  4 88  1  0 2021-11-09 10:44:42
 0  0   4864 1058928 974892 2975944    0    0     0   760 3600 4038  9  5 86  0  0 2021-11-09 10:44:43
 0  0   4864 1059172 974892 2975792    0    0     0   872 1975 2232  7  4 89  0  0 2021-11-09 10:44:44
 0  0   4864 1058376 974892 2976476    0    0     0   304 1963 2207  5  3 92  0  0 2021-11-09 10:44:45
 0  1   4864 1058336 974900 2976492    0    0     0   632 2678 3317 10  6 84  0  0 2021-11-09 10:44:46
 0  0   4864 1058540 974900 2975992    0    0     0   608 3036 3924  7  4 88  1  0 2021-11-09 10:44:47
 0  0   4864 1058540 974908 2975976    0    0     0   656 2197 2244  8  5 88  0  0 2021-11-09 10:44:48
 0  0   4864 1058288 974908 2975976    0    0     0   768 2951 3899  9  5 86  0  0 2021-11-09 10:44:49
 0  0   4864 1058224 974908 2976428    0    0     0   608 1893 1966  5  3 92  0  0 2021-11-09 10:44:50
 2  0   4864 1058344 974908 2975932    0    0     0  1216 3942 4847 10  7 83  0  0 2021-11-09 10:44:51
 0  0   4864 1058640 974916 2975992    0    0     0   784 2045 2315  6  4 89  1  0 2021-11-09 10:44:52
 0  0   4864 1058568 974924 2975992    0    0     0   648 2306 2507  7  5 88  0  0 2021-11-09 10:44:53
 0  0   4864 1058560 974924 2975992    0    0     0   456 1777 2126  6  4 91  0  0 2021-11-09 10:44:54
 0  0   4864 1058024 974924 2977016    0    0     0   316 3051 3714  6  5 90  0  0 2021-11-09 10:44:55
 3  0   4864 1057272 974924 2976688    0    0     0  1408 3208 3535 13  6 80  0  0 2021-11-09 10:44:56
 0  0   4864 1057228 974932 2976532    0    0     0   784 3292 4010  7  4 88  1  0 2021-11-09 10:44:57
 0  0   4864 1057900 974940 2976164    0    0     0   648 2054 2207  6  4 90  0  0 2021-11-09 10:44:58
 0  0   4864 1057836 974940 2975860    0    0     0   868 3192 4172  7  5 88  0  0 2021-11-09 10:44:59
 0  0   4864 1057456 974940 2976012    0    0     0   316 1770 1938  5  3 92  0  0 2021-11-09 10:45:00
 1  0   4864 1057008 974940 2976528    0    0     0  1284 2975 3527 10  6 85  0  0 2021-11-09 10:45:01
 0  0   4864 1057384 974948 2976512    0    0     0   936 1794 2110  5  4 90  1  0 2021-11-09 10:45:02
 0  0   4864 1057556 974960 2976008    0    0     0   752 3124 3425  8  5 87  0  0 2021-11-09 10:45:03
 0  0   4864 1057292 974960 2976060    0    0     0   304 1884 1967  7  4 90  0  0 2021-11-09 10:45:04
 0  0   4864 1057452 974960 2976012    0    0     0   136 2953 3758  7  4 89  0  0 2021-11-09 10:45:05
 2  0   4864 1055948 974960 2976540    0    0     0  1288 2995 3359 11  6 83  0  0 2021-11-09 10:45:06
 0  0   4864 1056260 974968 2976544    0    0     0   632 3660 4496  7  5 87  1  0 2021-11-09 10:45:07
 0  0   4864 1056132 974976 2976008    0    0     0   948 2245 2352  8  4 88  0  0 2021-11-09 10:45:08
 1  0   4864 1056512 974976 2976028    0    0     0   456 2355 3371  7  4 89  0  0 2021-11-09 10:45:09
 0  0   4864 1056408 974976 2976032    0    0     0   760 1830 1934  7  4 90  0  0 2021-11-09 10:45:10
 0  0   4864 1056244 974976 2976480    0    0     0  1284 3061 3949 11  6 83  0  0 2021-11-09 10:45:11
 0  0   4864 1055788 974984 2976564    0    0     0   784 2021 2163  6  4 89  1  0 2021-11-09 10:45:12
 0  0   4864 1055936 974992 2976052    0    0     0   640 3450 3874  7  5 88  0  0 2021-11-09 10:45:13
 0  0   4864 1055840 974992 2976060    0    0     0   456 1919 2291  6  4 90  0  0 2021-11-09 10:45:14
 0  0   4864 1055612 974992 2977088    0    0     0   608 3319 4130  5  4 91  0  0 2021-11-09 10:45:15
 1  0   4864 1055128 974992 2976604    0    0     0  1684 2801 3294 11  5 84  0  0 2021-11-09 10:45:16
 0  0   4864 1055320 975000 2976596    0    0     0   480 3568 4014  8  6 86  1  0 2021-11-09 10:45:17
 0  0   4864 1055944 975008 2976072    0    0     0   644 2421 2669  7  4 89  0  0 2021-11-09 10:45:18
 0  0   4864 1055492 975008 2976084    0    0     0   608 3169 3850  7  5 87  0  0 2021-11-09 10:45:19
 1  0   4864 1055556 975008 2976084    0    0     0   608 1627 1770  4  3 93  0  0 2021-11-09 10:45:20
 2  0   4864 1054996 975008 2976540    0    0     0  1924 3218 3774 11  6 83  0  0 2021-11-09 10:45:21
 0  0   4864 1054932 975016 2976600    0    0     0   632 1826 1916  5  3 91  1  0 2021-11-09 10:45:22
 0  0   4864 1055184 975024 2976092    0    0     0   800 3304 3867  8  5 87  0  0 2021-11-09 10:45:23
 1  0   4864 1055176 975024 2975920    0    0     0   424 1970 2422  6  4 90  0  0 2021-11-09 10:45:24
 0  0   4864 1055136 975024 2976100    0    0     0   304 2832 3464  6  4 91  0  0 2021-11-09 10:45:25
 0  0   4864 1055012 975024 2976632    0    0     0  1532 3064 4048 10  6 84  0  0 2021-11-09 10:45:26
 0  0   4864 1054908 975032 2976568    0    0     0   328 3035 3322  5  4 91  1  0 2021-11-09 10:45:27
 0  0   4864 1055372 975044 2976104    0    0     0   508 2362 2453  8  4 88  0  0 2021-11-09 10:45:28
 2  0   4864 1055180 975044 2976108    0    0     0   760 3064 3541  7  5 88  0  0 2021-11-09 10:45:29
 0  0   4864 1055364 975044 2976124    0    0     0   464 1627 1961  4  3 93  0  0 2021-11-09 10:45:30
 3  0   4864 1054748 975044 2976644    0    0     0  1216 3123 3901 10  6 84  0  0 2021-11-09 10:45:31
 1  0   4864 1054804 975052 2976632    0    0     0   340 1689 1771  6  3 91  1  0 2021-11-09 10:45:32
 0  0   4864 1054520 975060 2976120    0    0     0   956 3074 3974  7  4 88  0  0 2021-11-09 10:45:33
 0  0   4864 1054132 975060 2976056    0    0     0   760 2011 2201  7  4 89  0  0 2021-11-09 10:45:34
 0  0   4864 1054228 975060 2976076    0    0     0   372 2649 3295  5  3 91  0  0 2021-11-09 10:45:35
 5  0   4864 1053208 975060 2977684    0    0     0  1064 3123 3872 11  7 82  0  0 2021-11-09 10:45:36
 0  0   4864 1053076 975060 2977688    0    0     0   468 2907 2933  6  5 89  0  0 2021-11-09 10:45:37
 1  0   4864 1054052 975076 2976136    0    0     0   676 2585 2762  8  5 87  1  0 2021-11-09 10:45:38
 0  0   4864 1054284 975076 2976136    0    0     0   912 3180 3608  8  5 88  0  0 2021-11-09 10:45:39
 0  0   4864 1054436 975076 2976136    0    0     0   456 1823 1986  5  3 92  0  0 2021-11-09 10:45:40
 0  0   4864 1054280 975076 2976600    0    0     0  1520 3436 4201 11  6 83  0  0 2021-11-09 10:45:41
 2  0   4864 1054048 975076 2976600    0    0     0   312 1543 1709  4  3 93  0  0 2021-11-09 10:45:42
 0  0   4864 1054228 975096 2976092    0    0     0   632 3033 3609  7  5 87  1  0 2021-11-09 10:45:43
 1  0   4864 1054448 975096 2976156    0    0     0   608 1948 2150  8  4 88  0  0 2021-11-09 10:45:44
 0  0   4864 1054416 975096 2976172    0    0     0   456 2740 2891  5  4 91  0  0 2021-11-09 10:45:45
 1  0   4864 1053876 975096 2976616    0    0     0  1536 3535 4853 14  7 80  0  0 2021-11-09 10:45:46
 0  0   4864 1054036 975096 2976616    0    0     0   456 2634 2833  5  4 91  0  0 2021-11-09 10:45:47
 0  0   4864 1053940 975112 2976168    0    0     0   828 2601 2876  7  5 87  1  0 2021-11-09 10:45:48
 2  0   4864 1053496 975112 2976020    0    0     0   456 2411 2642  7  5 88  0  0 2021-11-09 10:45:49
 1  0   4864 1053204 975112 2976192    0    0     0   456 1614 1752  5  4 92  0  0 2021-11-09 10:45:50
 2  0   4864 1052932 975112 2976156    0    0     0  1960 4263 5294 11  7 82  0  0 2021-11-09 10:45:51
 0  0   4864 1053132 975112 2976700    0    0     0   152 1753 1760  5  4 91  0  0 2021-11-09 10:45:52
 0  0   4864 1053116 975132 2976188    0    0     0   684 2986 3713  7  5 88  1  0 2021-11-09 10:45:53
 0  0   4864 1053244 975132 2976188    0    0     0   620 2881 3128  7  5 88  0  0 2021-11-09 10:45:54
 1  0   4864 1053084 975132 2976208    0    0     0   304 2500 2864  6  4 90  0  0 2021-11-09 10:45:55
 0  0   4864 1052072 975132 2977060    0    0     0  1592 3504 4590 10  7 84  0  0 2021-11-09 10:45:56
 1  0   4864 1052256 975132 2977740    0    0     0   304 2451 2570  5  4 91  0  0 2021-11-09 10:45:57
 0  0   4864 1052476 975148 2976196    0    0     0   672 2795 3333  8  4 87  1  0 2021-11-09 10:45:58
 1  0   4864 1052096 975148 2976184    0    0     0   588 2262 2605  7  4 88  0  0 2021-11-09 10:45:59
 1  0   4864 1051828 975148 2976272    0    0     0   304 1713 1829  6  3 91  0  0 2021-11-09 10:46:00
 2  0   4864 1051704 975148 2976284    0    0     0   720 3545 4947 11  7 82  0  0 2021-11-09 10:46:01
 0  0   4864 1051664 975148 2976716    0    0     0   152 1970 2103  5  3 92  0  0 2021-11-09 10:46:02
 0  0   4864 1051504 975168 2976380    0    0     0   840 2966 3510  8  5 86  1  0 2021-11-09 10:46:03
 0  0   4864 1051408 975168 2976264    0    0     0   772 2454 2671  8  5 87  0  0 2021-11-09 10:46:04
 0  0   4864 1051568 975168 2976236    0    0     0   304 2265 2641  5  4 91  0  0 2021-11-09 10:46:05
 0  0   4864 1051600 975168 2976752    0    0     0  1732 3935 5154 13  7 81  0  0 2021-11-09 10:46:06
 0  0   4864 1051568 975168 2976752    0    0     0   608 2185 2381  6  4 91  0  0 2021-11-09 10:46:07
 0  0   4864 1051284 975184 2976244    0    0     0   372 3363 3743  8  5 86  1  0 2021-11-09 10:46:08
 1  0   4864 1050652 975200 2976172    0    0     0   664 2074 2474  7  4 89  0  0 2021-11-09 10:46:09
 3  0   4864 1051000 975200 2976188    0    0     0   152 1810 2093  7  4 89  0  0 2021-11-09 10:46:10
 0  0   4864 1051032 975200 2976708    0    0     0  1408 3624 4854 12  5 78  5  0 2021-11-09 10:46:11
 0  0   4864 1050936 975200 2976768    0    0     0   304 2285 2548  4  3 93  0  0 2021-11-09 10:46:12
 1  0   4864 1051316 975216 2976268    0    0     0   816 2538 2845  7  4 88  1  0 2021-11-09 10:46:13
 0  0   4864 1051408 975216 2976252    0    0     0   620 2918 3382  6  5 89  0  0 2021-11-09 10:46:14
 2  0   4864 1050524 975216 2977228    0    0     0   800 2129 2409  6  4 90  0  0 2021-11-09 10:46:15
 0  0   4864 1051028 975216 2976732    0    0     0  1472 3731 5269 11  7 82  0  0 2021-11-09 10:46:16
 0  0   4864 1051344 975216 2976784    0    0     0   608 1758 1855  5  3 92  0  0 2021-11-09 10:46:17
 1  0   4864 1051060 975228 2976196    0    0     0   960 2272 2326  8  4 88  0  0 2021-11-09 10:46:18
 0  0   4864 1051060 975236 2976208    0    0     0   784 3324 3833  9  5 85  1  0 2021-11-09 10:46:19
 3  0   4864 1050964 975236 2976284    0    0     0   304 1680 1981  4  3 92  0  0 2021-11-09 10:46:20
 0  0   4864 1050724 975236 2976648    0    0     0  1520 3697 4764 11  7 82  0  0 2021-11-09 10:46:21
 0  0   4864 1050900 975236 2976820    0    0     0   168 2088 2275  5  3 91  0  0 2021-11-09 10:46:22
 2  0   4864 1050836 975244 2976292    0    0     0   648 2549 2811  9  5 86  0  0 2021-11-09 10:46:23
 0  0   4864 1050836 975252 2976244    0    0     0   772 2882 3338  6  4 90  1  0 2021-11-09 10:46:24
 2  0   4864 1050612 975252 2976252    0    0     0   456 1816 1984  5  4 91  0  0 2021-11-09 10:46:25
 0  0   4864 1050076 975260 2976692    0    0     0  1840 3453 4648 11  6 82  1  0 2021-11-09 10:46:26
 0  0   4864 1049980 975260 2976820    0    0     0   304 3185 3177  4  4 92  0  0 2021-11-09 10:46:27
 1  0   4864 1049664 975268 2976248    0    0     0   800 2469 2643  8  5 88  0  0 2021-11-09 10:46:28
 0  0   4864 1049664 975276 2976252    0    0     0   620 2018 2301  7  4 88  1  0 2021-11-09 10:46:29
 4  0   4864 1049632 975276 2976252    0    0     0   608 3023 3588  8  4 88  0  0 2021-11-09 10:46:30
 0  0   4864 1049280 975276 2976668    0    0     0  1368 3180 3811  9  7 84  0  0 2021-11-09 10:46:31
 4  0   4864 1049252 975284 2976872    0    0     0   480 2447 2925  5  5 90  0  0 2021-11-09 10:46:32
 2  0   4864 1049068 975292 2976360    0    0     0   652 2162 2290  6  4 90  0  0 2021-11-09 10:46:33
 0  0   4864 1048260 975300 2977372    0    0     0   772 3016 3741  8  5 86  0  0 2021-11-09 10:46:34
 1  0   4864 1048196 975300 2977372    0    0     0   456 1977 2127  7  4 89  0  0 2021-11-09 10:46:35
 0  0   4864 1048692 975300 2976808    0    0     0   912 3185 4211 12  8 80  0  0 2021-11-09 10:46:36
 1  0   4864 1048692 975300 2976808    0    0     0   312 1700 1690  4  3 93  0  0 2021-11-09 10:46:37
 0  0   4864 1049132 975316 2976360    0    0     0  1140 4036 4555  9  5 86  0  0 2021-11-09 10:46:38
 0  0   4864 1048560 975324 2976280    0    0     0   620 2118 2280  6  4 89  1  0 2021-11-09 10:46:39
 4  0   4864 1048720 975324 2976364    0    0     0   456 2855 3381  7  4 89  0  0 2021-11-09 10:46:40
 0  0   4864 1048372 975324 2976828    0    0     0  1504 3147 4314 10  6 85  0  0 2021-11-09 10:46:41
 0  0   4864 1048468 975324 2976840    0    0     0   512 2749 3376  5  4 91  0  0 2021-11-09 10:46:42
 0  0   4864 1048500 975336 2976392    0    0     0   504 2114 2251  5  4 90  0  0 2021-11-09 10:46:43
 0  0   4864 1048308 975336 2976392    0    0     0   304 2335 2852 10  6 84  0  0 2021-11-09 10:46:44
 4  0   4864 1048096 975344 2976380    0    0     0   664 2107 2103 12  4 83  1  0 2021-11-09 10:46:45
 0  0   4864 1047984 975344 2976648    0    0     0  1520 3788 5054 10  6 84  0  0 2021-11-09 10:46:46
 0  0   4864 1048192 975344 2976900    0    0     0   336 1633 1701  4  3 92  0  0 2021-11-09 10:46:47
 0  0   4864 1048444 975352 2976328    0    0     0   492 3133 3640  8  5 87  0  0 2021-11-09 10:46:48
 0  0   4864 1048192 975352 2976392    0    0     0   608 1992 2258  6  5 90  0  0 2021-11-09 10:46:49
 0  0   4864 1048228 975360 2976396    0    0     0   340 2746 3617  6  5 89  1  0 2021-11-09 10:46:50
 0  0   4864 1047140 975360 2976588    0    0     0  1368 3171 3771 10  6 84  0  0 2021-11-09 10:46:51
 0  0   4864 1047104 975360 2976936    0    0     0   304 2570 2926  5  4 91  0  0 2021-11-09 10:46:52
 0  0   4864 1047720 975368 2976412    0    0     0   496 2114 2261  6  4 89  0  0 2021-11-09 10:46:53
 0  0   4864 1047528 975368 2976412    0    0     0   760 2157 2447  7  4 89  0  0 2021-11-09 10:46:54
 1  0   4864 1046536 975376 2977284    0    0     0   620 1938 2244  6  4 89  1  0 2021-11-09 10:46:55
 0  0   4864 1046784 975376 2976916    0    0     0  1216 4295 5450 13  6 80  0  0 2021-11-09 10:46:56
 1  0   4864 1046568 975376 2976936    0    0     0   768 1782 1717  6  3 91  0  0 2021-11-09 10:46:57
 1  0   4864 1047040 975384 2976424    0    0     0   500 3255 3767  7  5 88  0  0 2021-11-09 10:46:58
 1  0   4864 1047000 975384 2976256    0    0     0   912 2046 2304  7  4 89  0  0 2021-11-09 10:46:59
 0  0   4864 1046984 975392 2976384    0    0     0   772 2559 3414  7  3 89  1  0 2021-11-09 10:47:00
 0  0   4864 1046604 975392 2976900    0    0     0  1064 3180 3882 10  5 85  0  0 2021-11-09 10:47:01
 0  0   4864 1046380 975400 2976964    0    0     0   472 1992 1978  5  4 91  0  0 2021-11-09 10:47:02
 0  0   4864 1046884 975408 2976444    0    0     0   800 3015 3473  8  5 88  0  0 2021-11-09 10:47:03
 0  0   4864 1046852 975408 2976444    0    0     0   608 2192 2666  8  5 87  0  0 2021-11-09 10:47:04
 0  0   4864 1046852 975416 2976448    0    0     0   468 2040 2278  7  4 89  1  0 2021-11-09 10:47:05
 1  0   4864 1046192 975416 2976788    0    0     0  1488 4402 5447 12  7 81  0  0 2021-11-09 10:47:06
 0  0   4864 1045904 975416 2976964    0    0     0   464 1793 1807  5  4 91  0  0 2021-11-09 10:47:07
 0  0   4864 1046188 975428 2976272    0    0     0  1112 3286 4122  7  5 88  0  0 2021-11-09 10:47:08
 0  0   4864 1046252 975428 2976416    0    0     0   912 2248 2401  7  4 89  0  0 2021-11-09 10:47:09
 1  1   4864 1045964 975436 2976480    0    0     0   844 2039 2471  7  3 89  1  0 2021-11-09 10:47:10
 0  0   4864 1046220 975436 2976980    0    0     0  1576 4356 5341 11  7 81  1  0 2021-11-09 10:47:11
 2  0   4864 1046060 975436 2976468    0    0     0   316 1779 1918  5  4 91  0  0 2021-11-09 10:47:12
 0  0   4864 1045556 975444 2976412    0    0     0   500 1960 2101  6  4 90  0  0 2021-11-09 10:47:13
 0  0   4864 1045052 975444 2977508    0    0     0   608 3403 3816  8  6 87  0  0 2021-11-09 10:47:14
 0  0   4864 1045460 975444 2977404    0    0     0   456 2117 2404  6  5 90  0  0 2021-11-09 10:47:15
 0  0   4864 1044796 975452 2977164    0    0     0  1736 4073 5044 11  6 83  1  0 2021-11-09 10:47:16
 1  0   4864 1045172 975452 2976656    0    0     0   608 1820 1759  5  3 92  0  0 2021-11-09 10:47:17
 0  0   4864 1045584 975460 2976520    0    0     0   844 2967 3605  8  4 88  0  0 2021-11-09 10:47:18
 0  0   4864 1045268 975460 2976524    0    0     0   304 2091 2434  7  5 88  0  0 2021-11-09 10:47:19
 2  0   4864 1045140 975460 2976584    0    0     0   152 2124 2589  8  5 87  0  0 2021-11-09 10:47:20
 1  0   4864 1045044 975468 2976856    0    0     0  1544 3172 3946 10  6 83  1  0 2021-11-09 10:47:21
 0  0   4864 1045484 975468 2976516    0    0     0   152 3665 3704  6  5 89  0  0 2021-11-09 10:47:22
 1  0   4864 1045384 975480 2976456    0    0     0   668 2216 2259  6  4 90  0  0 2021-11-09 10:47:23
 0  0   4864 1045256 975480 2976520    0    0     0   608 3440 3998  9  5 86  0  0 2021-11-09 10:47:24
 2  0   4864 1045164 975480 2976876    0    0     0   760 1902 2238  6  4 91  0  0 2021-11-09 10:47:25
 0  0   4864 1045224 975488 2977044    0    0     0   468 3990 5416 11  7 81  1  0 2021-11-09 10:47:26
 0  0   4864 1045948 975488 2976488    0    0     0     0 1743 1796  4  4 92  0  0 2021-11-09 10:47:27
 0  0   4864 1045916 975500 2976536    0    0     0   664 2105 2487  7  4 90  0  0 2021-11-09 10:47:28
 0  0   4864 1045948 975500 2976540    0    0     0   760 2360 2420  8  5 87  0  0 2021-11-09 10:47:29
 1  0   4864 1045160 975500 2977064    0    0     0   304 3139 4121  6  5 89  0  0 2021-11-09 10:47:30
 0  0   4864 1045220 975508 2976548    0    0     0  1544 2938 3799 10  6 84  1  0 2021-11-09 10:47:31
 0  0   4864 1045252 975508 2976552    0    0     0   464 2911 3170  6  4 90  0  0 2021-11-09 10:47:32
 0  0   4864 1044908 975516 2977580    0    0     0   360 2112 2349  6  4 90  0  0 2021-11-09 10:47:33
 0  0   4864 1045412 975516 2976548    0    0     0   456 3019 3832  7  4 88  0  0 2021-11-09 10:47:34
 0  0   4864 1044876 975516 2977008    0    0     0   608 1949 2400  6  4 91  0  0 2021-11-09 10:47:35
 0  0   4864 1044688 975524 2977036    0    0     0  1684 4056 4935 12  7 80  1  0 2021-11-09 10:47:36
 0  0   4864 1044860 975524 2976756    0    0     0   304 1799 1801  5  3 92  0  0 2021-11-09 10:47:37
 1  0   4864 1044908 975532 2976572    0    0     0   516 2157 2408  7  4 88  0  0 2021-11-09 10:47:38
 0  0   4864 1044876 975532 2976576    0    0     0   608 2038 2287  6  4 90  0  0 2021-11-09 10:47:39
 0  0   4864 1044972 975532 2977076    0    0     0   456 3252 3960  7  5 88  0  0 2021-11-09 10:47:40
 0  0   4864 1044624 975540 2977096    0    0     0  1380 2917 3489  9  6 84  1  0 2021-11-09 10:47:41
 0  0   4864 1044592 975540 2976584    0    0     0   608 2863 2958  8  4 87  0  0 2021-11-09 10:47:42
 0  0   4864 1044464 975548 2976524    0    0     0   492 2297 2585  6  4 90  0  0 2021-11-09 10:47:43
 2  0   4864 1044684 975548 2976588    0    0     0   760 2909 3374  7  5 88  0  0 2021-11-09 10:47:44
 0  0   4864 1044400 975548 2976936    0    0     0   456 2641 3004  6  5 89  0  0 2021-11-09 10:47:45
 0  0   4864 1044720 975556 2977044    0    0     0  1380 3056 3983 12  6 81  1  0 2021-11-09 10:47:46
 0  0   4864 1044956 975556 2976700    0    0     0   352 3353 3525  7  4 89  0  0 2021-11-09 10:47:47
 0  0   4864 1046016 975564 2976628    0    0     0   972 2225 2653  8  4 89  0  0 2021-11-09 10:47:48
 0  0   4864 1046428 975564 2976972    0    0     0   760 2447 2605 11  5 84  0  0 2021-11-09 10:47:49
 3  0   4864 1046256 975564 2978232    0    0     0   560 3077 3822 11  5 85  0  0 2021-11-09 10:47:50
